Kana,Kanji,Type,Definition/s
おしゃれ,,"adj-na,adj-no,n","smartly dressed,someone smartly dressed,fashion-conscious"
おしゃべり,,"adj-na,adj-no,n,vs","chattering,talk,idle talk"
おじゃまします,,exp,Excuse me for disturbing you
おじょうさん,お嬢さん,n,"(1) (hon) daughter,(2) young lady"
おす,押す,"v5s,vt","to push,to press,to stamp (i.e. a passport)"
おせわになりました,,,I've been in your care
おせん,汚染,n,"pollution,contamination"
おそい,遅い,adj,"late,slow"
おそらく,,adv,perhaps
おそれる,恐れる,v1,"to fear,to be afraid of"
おそろしい,恐ろしい,adj,"terrible,dreadful"
おそわる,教わる,v5r,to be taught
おだいじに,,exp,Take care of yourself
おたがい,お互い,n,"mutual,reciprocal,each other"
おだやか,穏やか,"adj-na,n","calm,gentle,quiet"
おちつく,落着く,v5k,"to calm down,to settle down"
おちる,落る,,
おっしゃる,,v5aru,"(hon) to say,to speak,to tell,to talk"
おっと,夫,n,(hum) (my) husband
おてあらい,御手洗,n,font of purifying water placed at entrance of shrine
おでかけ,お出掛け,,
おてつだいさん,お手伝いさん,n,maid
おと,音,"n,n-suf","sound,note"
おとうさん,お父さん,n,(hon) father
おとうと,弟,n,"younger brother,faithful service to those older,brotherly affection"
おどかす,,v5s,"to threaten,to coerce"
おとこ,男,n,man
おとこのこ,男の子,n,boy
おとこのひと,男の人,,man
おとしもの,落し物,n,lost property
おとす,落す,io,"(v5s) to drop,to lose,to let fall"
おととい,,"n-adv,n-t",day before yesterday
おととし,,"n-adv,n-t",year before last
おとな,大人,n,adult
おとなしい,,adj,"obedient,docile,quiet"
おどり,踊り,n,dance
おとる,劣る,v5r,"to fall behind,to be inferior to"
おどる,踊る,v5r,to dance
おどろかす,驚かす,v5s,"to surprise,to frighten,to create a stir"
おどろく,驚く,v5k,"to be surprised,to be astonished"
おなか,お腹,n,stomach
