Kana,Kanji,Type,Definition/s
ひげ,髭,n,"moustache,beard,whiskers"
ひげき,悲劇,n,tragedy
ひこう,飛行,n,aviation
ひこうじょう,飛行場,n,airport
ひざ,膝,n,"knee,lap"
ひざし,陽射,n,"sunlight,rays of the sun"
ひさしぶり,久しぶり,exp,after a long time
ひじ,肘,n,elbow
ひじょう,非常,"adj-na,n","emergency,extraordinary,unusual"
ひじょうに,非常に,adv,"very,extremely,exceedingly"
びじん,美人,n,beautiful person (woman)
ピストル,,n,pistol
ひたい,額,n,"forehead,brow"
ビタミン,,n,vitamin
ぴたり,,,
ひだり,左,n,left hand side
ひっかかる,引っ掛かる,v5r,"to be caught in,to be stuck in,to be cheated"
ひっき,筆記,"n,vs","(taking) notes,copying"
びっくり,,"adv,n,vs","be surprised,be amazed,be frightened,astonishment"
ひっくりかえす,引っ繰り返す,v5s,"to turn over,to overturn,to knock over,to upset,to turn inside out"
ひっくりかえる,引っ繰り返る,v5r,"to be overturned,to be upset,to topple over,to be reversed"
ひづけ,日付,n,"date,dating"
ひっこし,引越し,n,"moving (dwelling etc.),changing residence"
ひっこす,引っ越す,v5s,"to move,to change residence"
ひっこむ,引っ込む,v5m,"to draw back,to sink,to cave in"
ひっし,必死,"adj-na,adj-no,n","inevitable death,desperation,frantic,inevitable result"
ひっしゃ,筆者,n,"writer,author"
ひつじゅひん,必需品,n,"necessities,necessary article,requisite,essential"
ぴったり,,"adj-na,adv,n","exactly,neatly,sharp"
ひっぱる,引っ張る,v5r,"(1) to pull,to draw,to stretch,to drag,(2) to pull the ball (baseball)"
ひつよう,必要,"adj-na,n","necessary,essential,indispensable"
ひてい,否定,"n,vs","negation,denial,repudiation"
ビデオ,,n,video
ひと,人,n,"man,person"
ひと~,一~,,
ひどい,,adj,"cruel,awful"
ひとこと,一言,n,single word
ひとごみ,人込み,n,crowd of people
ひとさしゆび,人差指,n,index finger
ひとしい,等しい,adj,equal
ひとつ,一つ,n,one
ひととおり,一通り,"adj-no,n","ordinary,usual,in general,briefly"
ひとどおり,人通り,n,pedestrian traffic
ひとまず,,adv,"for the present,once,in outline"
ひとみ,瞳,n,pupil (of eye)
ひとやすみ,一休み,n,a rest
ひとり,一人,n,one person
ひとり,独り,"adv,n","alone,unmarried"
ひとりごと,独り言,n,"a soliloquy,a monologue,speaking to oneself"
ひとりでに,,adv,"by itself,automatically,naturally"
ひとりひとり,一人一人,n-t,"one by one,each,one at a time"
ビニール,,n,vinyl
ひにく,皮肉,"adj-na,n","cynicism,sarcasm"
ひにち,日日,"n-adv,n-t","every day,daily,day after day"
ひねる,捻る,v5r,"to turn (a switch) on or off,to twist,to puzzle over"
ひのいり,日の入り,n,sunset
ひので,日の出,n,sunrise
ひはん,批判,n,"criticism,judgement,comment"
ひびき,響き,n,"echo,sound,reverberation,noise"
ひびく,響く,v5k,to resound
ひひょう,批評,"n,vs","criticism,review,commentary"
ひふ,皮膚,n,skin
ひま,暇,"adj-na,n","(1) free time,leisure,leave,spare time,(2) farewell"
ひみつ,秘密,"adj-na,n","secret,secrecy"
びみょう,微妙,"adj-na,n","delicate,subtle"
ひも,紐,n,"(1) string,cord,(2) pimp"
ひゃく,百,num,"100,hundred"
ひやす,冷やす,"v5s,vt","to cool,to refrigerate"
ひゃっかじてん,,n,encyclopedia
ひよう,費用,n,"cost,expense"
ひょう,表,"n,n-suf","table (e.g. Tab 1),chart,list"
びよう,美容,n,beauty of figure or form
びょう,秒,n,second (60th min)
~びょう,~病,,
びょういん,病院,n,hospital
ひょうか,評価,"n,vs","valuation,estimation,assessment,evaluation"
びょうき,病気,n,"illness,disease,sickness"
ひょうげん,表現,"n,vs","expression,presentation,representation (math)"
ひょうし,表紙,n,"front cover,binding"
ひょうしき,標識,n,"sign,mark"
ひょうじゅん,標準,n,"standard,level"
ひょうじょう,表情,n,facial expression
びょうどう,平等,"adj-na,n","equality (a),impartiality,evenness"
ひょうばん,評判,"adj-no,n","fame,reputation,popularity,arrant"
ひょうほん,標本,n,"example,specimen"
ひょうめん,表面,n,"surface,outside,face,appearance"
ひょうろん,評論,n,"criticism,critique"
ひらがな,平仮名,n,"hiragana,47 syllables,the cursive syllabary"
ひらく,開く,v5k,to open (e.g. a festival)
ビル,,n,"(abbr) building,bill"
ひる,昼,"n-adv,n-t","noon,daytime"
ビルディング,,n,building
ひるね,昼寝,"n,vs","nap (at home),siesta"
ひるま,昼間,"n-adv,n-t","daytime,during the day"
ひろい,広い,adj,"spacious,vast,wide"
ひろう,拾う,v5u,"to pick up,to find,to gather"
ひろがる,広がる,v5r,"to spread (out),to extend,to stretch,to reach to,to get around"
ひろげる,広げる,v1,"to spread,to extend,to expand,to enlarge"
ひろさ,広さ,n,extent
ひろば,広場,n,plaza
ひろびろ,広々,"adj-na,adv,n","extensive,spacious"
ひろめる,広める,v1,"to broaden,to propagate"
ひん,品,n,"thing,article,goods,dignity,article (goods),counter for meal courses"
びん,瓶,n,bottle
びん,便,,"way,means"
ピン,,n,pin
ピンク,,"adj-no,n",pink
びんせん,便箋,n,"writing paper,stationery"
びんづめ,瓶詰,"adj-no,n,vs","bottling,bottled"
ふ,不,,"un,non,negative prefix"
ぶ,不,,"un,non,negative prefix"
ぶ,無,n,"nothing,naught,nil,zero"
ぶ,分,"n,n-suf,pref","dividing,part"
~ぶ,~部,,
ファスナー,,n,"fastener,zipper"
ふあん,不安,"adj-na,n","anxiety,uneasiness,insecurity,suspense"
フィルム,,n,film (roll of)
~ふう,~風,,
ふうけい,風景,n,scenery
ふうせん,風船,n,balloon
ふうとう,封筒,n,envelope
ふうふ,夫婦,n,"married couple,husband and wife"
プール,,n,swimming pool
ふうん,不運,"adj-na,n","unlucky,misfortune,bad luck,fate"
ふえ,笛,n,"flute,pipe"
ふえる,増える,"v1,vi","to increase,to multiply"
ふえる,殖える,"v1,vi","to increase,to multiply"
フォーク,,n,"folk,fork"
ふか,不可,"n,n-suf","wrong,bad,improper,unjustifiable,inadvisable"
ふかい,深い,adj,"deep,profound,thick,close"
ふかまる,深まる,"v5r,vi","to deepen,to heighten,to intensify"
ぶき,武器,n,"weapon,arms,ordinance"
ふきそく,不規則,"adj-na,n","irregularity,unsteadiness,disorderly"
ふきゅう,普及,"n,vs","diffusion,spread"
ふきん,付近,"n,n-suf","neighbourhood,vicinity,environs"
ふく,吹く,v5k,"(1) to blow (wind, etc),(2) to emit,to spout"
ふく,拭く,v5k,"to wipe,to dry"
ふく,服,"n,n-suf",clothes
ふく~,副~,,
ふくざつ,複雑,"adj-na,n","complexity,complication"
ふくし,副詞,n,adverb
ふくしゃ,複写,n,"copy,duplicate"
ふくしゅう,復習,"n,vs","review,revision"
ふくすう,複数,n,"plural,multiple"
ふくそう,服装,n,garments
ふくむ,含む,v5m,"to hold in the mouth,to bear in mind"
ふくめる,含める,"v1,vt","to include,to instruct,to make one understand"
ふくらます,膨らます,v5s,"to swell,to expand,to inflate,to bulge"
ふくらむ,膨らむ,v5m,"to expand,to swell (out),to get big,to become inflated"
ふくろ,袋,n,"bag,sack"
ふけつ,不潔,"adj-na,n","unclean,dirty,filthy,impure"
ふける,更ける,v1,"to get late,to advance,to wear on"
ふこう,不幸,"adj-na,n","unhappiness,sorrow,misfortune,disaster,accident,death"
ふごう,符号,n,"sign,mark,symbol"
ふさい,夫妻,n,"man and wife,married couple"
ふさがる,塞がる,"v5r,vi","to be plugged up,to be shut up"
ふさぐ,塞ぐ,"v5g,vt","to stop up,to close up,to block (up)"
ふざける,,v1,"to romp,to gambol,to frolic,to joke"
ぶさた,無沙汰,n,neglecting to stay in contact
ふし,節,n-suf,"tune,tone,knot,knob,point"
ぶし,武士,n,"warrior,samurai"
ぶじ,無事,"adj-na,n","safety,peace,quietness"
ふしぎ,不思議,"adj-na,n","mystery,curiosity"
ぶしゅ,部首,n,radical (of a kanji character)
ふじゆう,不自由,"adj-na,n","discomfort,disability,inconvenience,destitution"
ふじん,夫人,n,"wife,Mrs,madam"
ふじん,婦人,n,"woman,female"
ふすま,襖,n,sliding screen
ふせい,不正,"adj-na,n","injustice,unfairness"
ふせぐ,防ぐ,"v5g,vt","to defend (against),to protect,to prevent"
ふそく,不足,"adj-na,n","insufficiency,shortage,deficiency,lack,dearth"
ふぞく,附属,"n,vs","attached,belonging,affiliated"
ふた,蓋,n,"cover,lid,cap"
ぶたい,舞台,n,stage (theatre)
ふたご,双子,n,"twins,a twin"
ふたたび,再び,adv,"again,once more,a second time"
ふたつ,二つ,n,two
ふたり,二人,n,"two persons,two people,pair,couple"
ふだん,普段,"adj-no,adj-na,n-adv,n","usually,habitually,ordinarily,always"
ふち,縁,n,"a means, e.g. of living"
ぶつ,打つ,v5t,"to hit,to strike"
~ぶつ,~物,,
ふつう,普通,"adj-na,adj-no,adv,n","(1) generally,ordinarily,usually,(2) train that stops at every station"
ふつう,不通,n,"suspension,interruption,stoppage,tie-up,cessation"
ふつか,二日,n,"second day of the month,two days"
ぶっか,物価,n,"prices of commodities,prices (in general)"
ぶつかる,,v5r,"to strike,to collide with"
ぶつける,,v1,"to knock,to run into,to nail on,to strike hard,to hit and attack"
ぶっしつ,物質,n,"material,substance"
ぶっそう,物騒,"adj-na,n","dangerous,disturbed,insecure"
ぶつぶつ,,"adv,n","grumbling,complaining in a small voice"
ぶつり,物理,n,physics
ふで,筆,n,writing brush
（副）,ふと,adv,"suddenly,casually,accidentally,incidentally,unexpectedly,unintentionally"
ふとい,太い,adj,"fat,thick"
ふとる,太る,v5r,"to grow fat (stout, plump),to become fat"
ふとん,布団,n,"bedding (Japanese style),futon"
ふなびん,船便,n,surface mail (ship)
ふね,舟,n,"ship,boat,watercraft,shipping,vessel,steamship"
ふね,船,n,"ship,boat,watercraft,shipping,vessel,steamship"
ぶひん,部品,n,"parts,accessories"
ふぶき,吹雪,n,snow storm
ぶぶん,部分,n,"portion,section,part"
ふへい,不平,"adj-na,n","complaint,discontent,dissatisfaction"
ふべん,不便,"adj-na,n","inconvenience,inexpediency,unhandiness"
ふぼ,父母,n,"father and mother,parents"
ふまん,不満,"adj-na,n","dissatisfaction,displeasure,discontent,complaints,unhappiness"
ふみきり,踏切,n,"railway crossing,level crossing,starting line,scratch,crossover"
ふむ,踏む,v5m,"to step on,to tread on"
ふもと,麓,n,"the foot,the bottom,the base (of a mountain)"
ふやす,増やす,"v5s,vt","to increase,to add to,to augment"
ふやす,殖やす,"v5s,vt","to increase,to add to,to augment"
ふゆ,冬,"n-adv,n-t",winter
フライパン,,n,"fry pan,frying pan"
ブラウス,,n,blouse
ぶらさげる,,v1,"to hang,to suspend,to dangle,to swing"
ブラシ,,n,"brushy,brush"
プラス,,n,plus
プラスチック,,n,plastic
プラットホーム,,n,platform
プラン,,n,plan
ふり,不利,"adj-na,n","disadvantage,handicap,unfavorable,drawback"
~ぶり,~振り,,
フリー,,"adj-na,n",free
ふりがな,振り仮名,hiragana over kanji,",pronunciation key"
ふりむく,振り向く,v5k,"to turn one's face,to turn around"
プリント,,n,"print,handout"
ふる,降る,v5r,"to precipitate,to fall (e.g. rain)"
ふる,振る,"v5r,vt","(1) to wave,to shake,to swing,(2) to sprinkle,(3) to cast (actor),to allocate (work)"
ふる~,古~,,
ふるい,古い,adj,"old (not person),aged,ancient,antiquated,stale,threadbare,outmoded,obsolete article"
ふるえる,震える,v1,"to shiver,to shake,to quake"
ふるさと,故郷,n,"home town,birthplace,old village,historic village,native place,one's old home"
ふるさと,古里,n,"home town,birthplace,old village,historic village,native place,one's old home"
ふるまう,振舞う,v5u,"to behave,to conduct oneself,to entertain (vt)"
ブレーキ,,n,a brake
プレゼント,,n,"present,gift"
ふれる,触れる,v1,"to touch,to be touched,to touch on a subject,to feel,to violate (law, copyright, etc.),to perceive,to be emotionally moved"
ふろ,風呂,n,bath
プロ,,n,professional
ブローチ,,n,brooch
プログラム,,n,program
ふろしき,風呂敷,n,"wrapping cloth,cloth wrapper"
ふわふわ,,,"light,soft"
~ふん,~分,,~ minutes
ぶん,分,"n,n-suf,pref","dividing,part,segment"
ぶん,文,n,sentence
ふんいき,雰囲気,n,"atmosphere (e.g. musical),mood,ambience"
ふんか,噴火,"n,vs",eruption
ぶんか,文化,n,"culture,civilization"
ぶんかい,分解,n,"analysis,disassembly"
ぶんがく,文学,n,literature
ぶんげい,文芸,n,"literature,art and literature,belles-lettres"
ぶんけん,文献,n,"literature,books (reference)"
ぶんしょう,文章,n,"sentence,article"
ふんすい,噴水,n,water fountain
ぶんすう,分数,n,fraction (in math)
ぶんせき,分析,"n,vs",analysis
ぶんたい,文体,n,literary style
ぶんぷ,分布,n,distribution
ぶんぽう,文法,n,grammar
ぶんぼうぐ,文房具,n,stationery
ぶんみゃく,文脈,n,context
ぶんめい,文明,n,"civilization,culture"
ぶんや,分野,n,"field,sphere,realm,division,branch"
ぶんりょう,分量,n,"amount,quantity"
ぶんるい,分類,"n,vs",classification
へい,塀,n,"wall,fence"
へいかい,閉会,"n,vs",closure
へいき,平気,"adj-na,n","coolness,calmness,composure,unconcern"
へいきん,平均,n,"equilibrium,balance,average,mean"
へいこう,並行,"adj-na,n,vs","(going) side by side,concurrent,abreast,at the same time"
へいじつ,平日,"n-adv,n","weekday,ordinary days"
へいたい,兵隊,n,"soldier,sailor"
へいぼん,平凡,"adj-na,n","common,commonplace,ordinary,mediocre"
へいや,平野,n,"plain,open field"
へいわ,平和,"adj-na,n","peace,harmony"
ページ,,n,page
へこむ,凹む,v5m,"to be dented,to be indented,to yield to,to give,to sink,to collapse,to cave in,to be snubbed"
へそ,,n,"navel,belly-button"
へた,下手,"adj-na,n","unskillful,poor,awkward"
へだてる,隔てる,v1,to be shut out
べつ,別,"adj-na,n,n-suf","distinction,difference,different,another,particular,separate,extra,exception"
べっそう,別荘,n,"holiday house,villa"
ベッド,,n,bed
べつに,別に,adv,"(not) particularly,nothing"
べつべつ,別々,"adj-na,n","separately,individually"
ベテラン,,n,veteran
へや,部屋,n,room
へらす,減らす,"v5s,vt","to abate,to decrease,to diminish,to shorten"
ヘリコプター,,n,helicopter
へる,減る,"v5r,vi","to decrease (in size or number),to diminish,to abate"
へる,,"v5r,vi","to decrease (in size or number),to diminish,to abate"
ベル,,n,bell (BEL)
ベルト,,n,Belt for western clothes
へん,変,"adj-na,n","change,incident,disturbance,strange"
へん,辺,n,"area,vicinity"
~へん,~編,,
~へん,~遍,,
ぺん,,,pen
~べん,~弁,n,"speech,dialect"
へんか,変化,"n,p-suru","change,variation,alteration"
ペンキ,,n,paint
べんきょう,勉強,"n,vs","study,diligence,discount,reduction"
へんこう,変更,"n,vs","change,modification,alteration"
へんじ,返事,"n,vs","reply,answer"
へんしゅう,編集,"n,vs","editing,compilation,editorial (e.g. committee)"
べんじょ,便所,n,"toilet,lavatory,rest room,latrine,comfort station"
ペンチ,,n,(abbr) pliers (lit: pinchers)
ベンチ,,n,bench
べんとう,弁当,n,box lunch
べんり,便利,"adj-na,n","convenient,handy,useful"
~ほ,~歩,,
~ぽい,,,~ish
ほう,方,"n-adv,n",side
ほう,法,"n,n-suf",Act (law: the X Act)
（比較）,~ほう,,
ぼう,棒,n,"pole,rod,stick"
ぼう~,防~,,
ぼうえき,貿易,n,trade (foreign)
ぼうえんきょう,望遠鏡,n,telescope
ほうがく,方角,n,"direction,way,compass point"
ほうき,箒,oK,(n) broom
ほうげん,方言,n,dialect
ぼうけん,冒険,n,"risk,venture,adventure"
ほうこう,方向,n,"direction,course,way"
ほうこく,報告,"n,vs","report,information"
ぼうさん,坊さん,n,"Buddhist priest,monk"
ぼうし,帽子,n,hat
ぼうし,防止,n,"prevention,check"
ほうしん,方針,n,"objective,plan,policy"
ほうせき,宝石,n,"gem,jewel"
ほうそう,放送,"n,vs","broadcast,broadcasting"
ほうそう,包装,"n,vs","packing,wrapping"
ほうそく,法則,n,"law,rule"
ほうたい,包帯,"n,vs","bandage,dressing"
ぼうだい,膨大,"adj-na,n","huge,bulky,enormous,extensive,swelling,expansion"
ほうちょう,庖丁,n,"kitchen knife,carving knife"
ほうていしき,方程式,n,equation
ぼうはん,防犯,n,prevention of crime
ほうふ,豊富,"adj-na,n","abundance,wealth,plenty,bounty"
ほうほう,方法,n,"method,manner,way,means,technique"
ほうぼう,方々,"adv,conj,n-adv,n-t","persons,this and that,here and there,everywhere"
ほうめん,方面,n,"direction,district,field (e.g., of study)"
ほうもん,訪問,"n,vs","call,visit"
ぼうや,坊や,n,boy
ほうりつ,法律,n,law
ほうる,放る,v5r,to let go
ほえる,吠える,v1,"to bark,to bay,to howl,to bellow,to roar,to cry"
ボーイ,,n,boy
ボート,,n,rowing boat
ボーナス,,n,bonus
ホーム,,n,"(1) platform,(2) home"
ボール,,n,"ball,bowl"
ボールペン,,n,ball-point pen
ほか,他,"n-adv,n",other (esp. places and things)
ほか,外,n,"other place,the rest"
ほがらか,朗らか,"adj-na,n","brightness,cheerfulness,melodious"
ぼく,僕,n,"(male) I,manservant"
ぼくじょう,牧場,n,"(1) farm (livestock),(2) pasture land,meadow,grazing land"
ぼくちく,牧畜,n,stock-farming
ポケット,,n,pocket
ほけん,保健,n,"health preservation,hygiene,sanitation"
ほこり,誇り,n,pride
ほこり,埃,n,dust
ほし,星,n,star
ほしい,欲しい,adj,"wanted,wished for,in need of,desired"
ぼしゅう,募集,"n,vs","recruiting,taking applications"
ほしょう,保証,"n,vs","guarantee,security,assurance,pledge,warranty"
ほす,干す,"v5s,vt","to air,to dry,to desiccate,to drain (off),to drink up"
ポスター,,n,poster
ポスト,,n,"post,post-,mail box"
ほそい,細い,adj,"thin,slender,fine"
ほぞん,保存,"n,vs","preservation,conservation,storage,maintenance"
ボタン,,pt:,(n) button (pt: bota~o)
ほっきょく,北極,n,North Pole
ぼっちゃん,坊っちゃん,n,son (of others)
ホテル,,n,hotel
ほど,程,"n-adv,n","degree,extent,bounds,limit"
ほどう,歩道,n,"footpath,walkway,sidewalk"
ほどく,,v5k,to unfasten
ほとけ,仏,n,"Buddha,merciful person,Buddhist image,the dead"
ほとんど,,"n-adv,n-t","mostly,almost"
ほね,骨,"adj-na,n",bone
ほのお,炎,n,flame
ほほ,頬,n,cheek (of face)
ほお,頬,n,cheek (of face)
ほぼ,,adv,"almost,roughly,approximately"
ほほえむ,微笑む,v5m,to smile
ほめる,褒める,v1,"to praise,to admire,to speak well"
ほり,堀,n,"moat,canal"
ほり,濠,n,moat
ほる,掘る,v5r,"to dig,to excavate"
ほる,彫る,v5r,"to carve,to engrave,to sculpture,to chisel"
ぼろ,,"n,pref","rag,scrap,tattered clothes,fault (esp. in a pretense)"
ほん,本,"n,n-suf,n-t","(1) origin,original"
ほん~,本~,,
~ほん,~本,,counter for cylindrical things
ぼん,盆,n,"Lantern Festival,Festival of the Dead,tray"
ぼんち,盆地,n,basin (e.g. between mountains)
ほんと,本当,"adj-na,n","truth,reality"
ほんとう,本当,"adj-na,n","truth,reality"
ほんにん,本人,n,the person himself
ほんの~,,,original ~
ほんぶ,本部,n,headquarters
ほんもの,本物,n,genuine article
ほんやく,翻訳,"n,vs","translation,de-encryption,deciphering"
ぼんやり,,"adv,n,vs","absent-minded,block-head,dim,faint,vague"
ほんらい,本来,"n-adv,n-t,adj-no","essentially,naturally,by nature"
ま,間,n,"space,room,time,pause"
まあ,,"adv,conj,int,n",(female) you might say
マーケット,,n,market
まあまあ,,"adj-na,adv,int",so-so
まい~,毎~,,every ~
マイク,,n,mike
まいご,迷子,n,lost (stray) child
まいすう,枚数,n,the number of flat things
まいど,毎度,"n-adv,n-t","each time,common service-sector greeting"
マイナス,,n,minus
まいる,参る,v5r,"(1) (hum) to go,to come"
まえ,前,"n-adv,n-t,suf","(1) before,previously"
~まえ,~前,,
まかせる,任せる,v1,"to entrust to another,to leave to"
まがる,曲る,,
まく,巻く,v5k,"to wind,to coil,to roll"
まく,蒔く,v5k,to sow (seeds)
まく,撒く,v5k,"to scatter,to sprinkle,to sow"
まく,幕,,"curtain,bunting,act (in play)"
まくら,枕,"n,n-suf","pillow,bolster"
まけ,負け,n,"defeat,loss,losing (a game)"
まける,負ける,v1,"to lose,to be defeated"
まげる,曲げる,v1,"to bend,to crook,to lean"
まご,孫,n,grandchild
まごまご,,"adv,n",confused
まさか,,adv,by no means
まさつ,摩擦,"n,vs","friction,rubbing,rubdown,chafe"
まさに,,adv,"correctly,surely"
まざる,混ざる,"v5r,vi","to be mixed,to be blended with,to associate with,to mingle with,to join"
まざる,交ざる,"v5r,vi","to be mixed,to be blended with,to associate with,to mingle with,to join"
まじめ,真面目,"adj-na,n","diligent,serious,honest"
まじる,混じる,"v5r,vi","to be mixed,to be blended with,to associate with"
まじる,交じる,"v5r,vi","to be mixed,to be blended with,to associate with"
ます,増す,"v5s,vi","to increase,to grow"
まず,先ず,adv,"first (of all),to start with,about,almost,hardly (with neg. verb)"
まずい,,adj,"unappetising,unpleasant (taste, appearance, situation),ugly"
マスク,,n,mask
まずしい,貧しい,adj,"poor,needy"
マスター,,n,"proprietor,manager,barowner,master (e.g. arts, science)"
ますます,,adv,"increasingly,more and more"
まぜる,混ぜる,v1,"to mix,to stir"
まぜる,交ぜる,"v1,vi","to be mixed,to be blended with"
また,又,"adv,conj,n","again,and"
まだ,未だ,adv,"yet,still,more,besides"
またぐ,,v5g,to straddle
または,又は,"conj,exp","or,otherwise"
まち,町,n,"(1) town,(2) street,road"
まち,街,n,"(1) town,(2) street,road"
まちあいしつ,待合室,n,waiting room
まちあわせる,待ち合わせる,v1,"to rendezvous,to meet at a prearranged place and time"
まちがい,間違い,n,mistake
まちがえる,間違える,v1,"to err,to make a mistake"
まちかど,街角,n,street corner
まつ,待つ,v5t,to wait
まつ,松,n,"(1) pine tree,(2) highest (of a three-tier ranking system)"
まっか,真っ赤,"adj-na,n","deep red,flushed (of face)"
まっくら,真っ暗,"adj-na,n","total darkness,shortsightedness,pitch dark"
まっくろ,真っ黒,"adj-na,n",pitch black
まっさお,真っ青,"adj-na,n","deep blue,ghastly pale"
まっさき,真っ先,n,"the head,the foremost,beginning"
まっしろ,真っ白,"adj-na,n",pure white
まっすぐ,真っ直ぐ,"adj-na,adv,n","straight (ahead),direct,upright"
まったく,全く,adv,"really,truly,entirely,completely"
マッチ,,n,match
まつり,祭,n,"festival,feast"
まつる,祭る,v5r,"to deify,to enshrine"
まど,窓,n,window
まどぐち,窓口,n,ticket window
まとまる,纏まる,v5r,"to be collected,to be settled,to be in order"
まとめる,纏める,"v1,vt","to put in order,to collect,to bring to a conclusion"
まなぶ,学ぶ,v5b,"to study (in depth),to learn,to take lessons in"
まにあう,間に合う,v5u,"(1) to be in time for,(2) to serve (suit, meet) the purpose,to be good enough"
まね,真似,n,"mimicry,imitation,behavior,pretense"
まねく,招く,v5k,to invite
まねる,真似る,v1,"to mimic,to imitate"
まぶしい,,adj,"dazzling,radiant"
まぶた,,n,eyelids
マフラー,,n,"muffler,scarf"
ママ,,n,Mama
~まま,,,keep ~ as it is
まめ,豆,n,"beans,peas"
まもなく,間も無く,adv,"soon,before long,in a short time"
まもる,守る,v5r,"to protect,to obey,to guard,to abide (by the rules)"
まよう,迷う,v5u,"to be puzzled,to be perplexed,to lose one's way"
マラソン,,n,marathon
まる,丸,n,"circle,full (month),perfection,purity,suffix for ship names"
まる,円,n,"circle,money"
まるい,丸い,adj,"round,circular,spherical"
まるい,円い,adj,"round,circular,spherical"
まるで,,adv,"quite,entirely,completely"
まれ,稀,"adj-na,n","rare,seldom"
まわす,回す,v5s,"to turn,to revolve"
まわり,回り,"n,n-suf","circumference,surroundings,circulation"
まわり,周り,"n,n-suf","circumference,surroundings,circulation"
まわりみち,回り道,n,detour
まん,万,"adv,num","10,000,ten thousand,myriads,all,everything"
まんいち,万一,"adv,n","by some chance,by some possibility,if by any chance,10E4:1 odds"
まんいん,満員,n,"full house,no vacancy,sold out"
まんが,漫画,n,"comic,cartoon"
マンション,,n,"large apartment,apartment house"
まんぞく,満足,"adj-na,n,vs",satisfaction
まんてん,満点,n,perfect score
まんなか,真中,n,"middle,centre,mid-way"
まんねんひつ,万年筆,n,fountain pen
み,身,n,"body,main part,oneself,sword"
み,実,n,"fruit,nut,seed,content,good result"
み~,未~,,
（接尾）,~み,,
みあげる,見上げる,v1,"to look up at,to raise one's eyes,to admire"
みえる,見える,v1,"to be seen,to be in sight,to look,to seem,to appear"
みおくり,見送り,n,"seeing one off,farewell,escort"
みおくる,見送る,v5r,"(1) to see off,to farewell,(2) to escort,(3) to let pass"
みおろす,見下ろす,v5s,"to overlook,to command a view of,to look down on something"
みがく,磨く,v5k,"to polish,to shine,to brush,to refine,to improve"
みかけ,見掛け,n,outward appearance
みかた,味方,n,"friend,ally,supporter"
みかづき,三日月,n,"new moon,crescent moon"
みぎ,右,n,right hand side
みごと,見事,"adj-na,n","splendid,magnificent,beautiful,admirable"
みさき,岬,n,cape (on coast)
みじかい,短い,adj,short
みじめ,,adj-na,"(arch) sad,pitiful,wretched"
ミシン,,n,sewing machine
ミス,,n,"miss (mistake, error, failure),Miss"
みず,水,n,water
みずうみ,湖,n,lake
みずから,自ら,"n-adv,n","for one's self,personally"
みずぎ,水着,n,bathing suit (woman's)
みせ,店,"n,n-suf","store,shop,establishment"
みせや,店屋,n,"store,shop"
みせる,見せる,v1,"to show,to display"
みそ,味噌,n,"(1) miso,bean paste,(2) key (main) point"
~みたい,,,looks like ~
みだし,見出し,n,"heading,caption,subtitle,index"
みち,道,n,"road,street,way,method"
みちじゅん,道順,n,"itinerary,route"
みちる,満ちる,v1,"to be full,to rise (tide),to mature,to expire"
みつ,密,,
みっか,三日,n,"three days,the third day (of the month)"
みつかる,見付かる,v5r,"to be found,to be discovered"
みつける,見付ける,v1,"to be familiar,to discover,to detect"
みっつ,三つ,n,three
みっともない,,uk,"shameful,indecent"
みつめる,見詰める,v1,"to stare at,to gaze at,to look hard at,to watch intently,to fix one's eyes on"
みとめる,認める,"v1,vt","to recognize,to appreciate,to approve,to admit,to notice"
みどり,緑,n,greenery
みな,皆,"adv,n","all,everyone,everybody"
みんな,皆,"adv,n","all,everyone,everybody"
みなおす,見直す,v5s,"to look again,to get a better opinion of"
みなと,港,n,"harbour,port"
みなみ,南,"n,vs","South,proceeding south"
みなれる,見慣れる,v1,"to become used to seeing,to be familiar with"
みにくい,醜い,adj,ugly
みのる,実る,v5r,"to bear fruit,to ripen"
みぶん,身分,n,"social position,social status"
みほん,見本,n,sample
みまい,見舞い,n,"enquiry,expression of sympathy,expression of concern"
みまう,見舞う,v5u,"to ask after (health),to visit"
みまん,未満,n-suf,"less than,insufficient"
みみ,耳,n,ear
みやげ,土産,n,"present,souvenir"
みやこ,都,n,capital
みょう,妙,"adj-na,n","strange,unusual"
みょう~,明~,,
みょうごにち,明後日,"n-adv,n-t",day after tomorrow
みょうじ,名字,n,"surname,family name"
みらい,未来,n,"future (life, tense)"
（メートル）,ミリ,n,"milli-,10^-3"
みりょく,魅力,n,"charm,fascination,glamour"
みる,見る,v1,"to see,to watch"
みる,診る,v1,to examine (medical)
ミルク,,n,milk
みんかん,民間,"adj-no,n","private,civilian,civil,popular,folk,unofficial"
みんしゅ~,民主~,,
みんよう,民謡,n,"folk song,popular song"
む,無,n,"nothing,naught,nil,zero"
むいか,六日,,"six days,sixth (day of month)"
むかい,向かい,"adj-no,n","facing,opposite,across the street,other side"
むかう,向う,io,"(v5u) to face,to go towards"
むかえ,迎え,n,"meeting,person sent to pick up an arrival"
むかえる,迎える,v1,to go out to meet
むかし,昔,"adj-no,n-adv,n-t","olden days,former"
むく,向く,v5k,to face
むく,剥く,v5k,"to peel,to skin,to pare,to hull"
~むけ,~向け,,
むける,向ける,v1,"to turn towards,to point"
むげん,無限,"adj-na,n",infinite
